state_fips,state,program,enacted,contributions_start,benefits_start,first_full_ref_year,cohort_asec_refyear,notes
6,California,Paid Family Leave (SDI add-on),2002-09-23,2004-01-01,2004-07-01,2005,2004,"6 weeks bonding/caregiving, ~55% wage replacement at start; expanded 2018 (60-70%), 8 weeks from 2020"
34,New Jersey,Family Leave Insurance,2008-05-02,2009-01-01,2009-07-01,2010,2009,"6 weeks at ~66% to cap; expanded to 12 weeks and 85% in July 2020"
44,Rhode Island,Temporary Caregiver Insurance,2013-07-11,2014-01-01,2014-01-01,2014,2014,"4 weeks; 5 weeks from 2022, 6 from 2023; job protection"
36,New York,Paid Family Leave,2016-04-04,2018-01-01,2018-01-01,2018,2018,"8 weeks at 50% in 2018, phased to 12 weeks at 67% by 2021; job protection"
53,Washington,Paid Family and Medical Leave,2017-07-05,2019-01-01,2020-01-01,2020,2020,"12 weeks family, up to 16-18 combined; progressive replacement up to 90%"
11,District of Columbia,Universal Paid Leave,2017-02-17,2019-07-01,2020-07-01,2021,2020,"8 weeks parental (12 from Oct 2022); half-year exposure in 2020"
25,Massachusetts,Paid Family and Medical Leave,2018-06-28,2019-10-01,2021-01-01,2021,2021,"12 weeks family (bonding) from Jan 2021, caregiving from Jul 2021; 20 weeks medical; up to 80% replacement"
9,Connecticut,Paid Leave,2019-06-25,2021-01-01,2022-01-01,2022,2022,"12 weeks + 2 for pregnancy complications; up to 95% at low wages"
41,Oregon,Paid Leave Oregon,2019-08-09,2023-01-01,2023-09-03,2024,2023,"12 weeks; benefits started September 2023 (partial year)"
8,Colorado,FAMLI,2020-11-03,2023-01-01,2024-01-01,2024,2024,"12 weeks + 4 for pregnancy complications; ballot initiative Proposition 118"
10,Delaware,Healthy Delaware Families Act,2022-05-10,2025-01-01,2026-01-01,2026,2026,"12 weeks parental; 6 weeks medical/caregiving; benefits from Jan 2026"
27,Minnesota,Paid Leave,2023-05-25,2026-01-01,2026-01-01,2026,2026,"up to 20 weeks combined; benefits from Jan 2026"
24,Maryland,Time to Care Act (FAMLI),2022-04-09,2027-01-01,2028-01-01,2028,2028,"repeatedly delayed; dates as of last check; verify"
